SMILES,homo_ev,lumo_ev,bandgap_ev,source_db,canonical_SMILES,ewg_count,ewg_weighted,mol_weight,n_arom_rings,conj_length,logp
CCCCCCCCCCCCC(CCCCCCCCCC)Cn%14c4c3sc(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)c(CCCCCCCCCCC)c3sc4c%13c5nsnc5c%12c9sc8c(CCCCCCCCCCC)c(C=c7c(=O)c6cc(F)c(F)cc6c7=C(C#N)C#N)sc8c9n(CCCCCCCCn%11nc%10cc(F)c(F)cc%10n%11)c%12c%13%14,-5.76,-3.89,1.32,your_data,CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2c3sc(C=C4C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)c(CCCCCCCCCCC)c3sc2c2c3nsnc3c3c4sc5c(CCCCCCCCCCC)c(C=C6C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c4n(CCCCCCCCn4nc5cc(F)c(F)cc5n4)c3c21,12,5.0200000000000005,1829.4939999999995,12,53,32.84552000000012
CCCCCCCCCCCCC(CCCCCCCCCC)Cn%12c4c3sc(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)c(CCCCCCCCCCC)c3sc4c%11c5nsnc5c%10c9sc8c(CCCCCCCCCCC)c(C=c7c(=O)c6cc(F)c(F)cc6c7=C(C#N)C#N)sc8c9n(CCCCCCCCCl)c%10c%11%12,-5.78,-3.88,1.35,your_data,CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2c3sc(C=C4C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)c(CCCCCCCCCCC)c3sc2c2c3nsnc3c3c4sc5c(CCCCCCCCCCC)c(C=C6C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c4n(CCCCCCCCCl)c3c21,11,4.79,1710.8479999999993,10,52,32.361220000000124
CCCCCCCCCCCc3c(/C=C/2C(=O)c1cc(F)c(F)cc1C2C(C#N)C#N)sc%11c3sc%12c%10c4nsnc4c9c8sc7c(CCCCCCCCCCC)c(C=c6c(=O)c5cc(F)c(F)cc5c6=C(C#N)C#N)sc7c8n(CC(CCCC)CCCCCC)c9c%10n(CC(CCCC)CCCCCC)c%11%12,-5.68,-4.06,1.36,your_data,CCCCCCCCCCCc1c(C=C2C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7C(C#N)C#N)sc6c5n(CC(CCCC)CCCCCC)c4c3n(CC(CCCC)CCCCCC)c21,10,4.5600000000000005,1566.2029999999993,10,43,28.8236200000001
CCCCCCCCCCCCC(CCCCCCCCCC)Cn%12c4c3sc(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)c(CCCCCCCCCCC)c3sc4c%11c5nsnc5c%10c9sc8c(CCCCCCCCCCC)c(C=c7c(=O)c6cc(F)c(F)cc6c7=C(C#N)C#N)sc8c9n(CCCCCCCC)c%10c%11%12,-5.8,-3.86,1.38,your_data,CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2c3sc(C=C4C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)c(CCCCCCCCCCC)c3sc2c2c3nsnc3c3c4sc5c(CCCCCCCCCCC)c(C=C6C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c4n(CCCCCCCC)c3c21,10,4.5600000000000005,1676.402999999999,10,51,32.142320000000126
c1(cc2c(cc1F)C(=O)C(=Cc1cc3c(s1)c1c(s3)c3c(C1(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)cc1c(c3)C(c3c1sc1c3sc(c1)C=C1C(=O)c3c(C1=C(C#N)C#N)cc(c(c3)F)F)(c1ccc(cc1)CCCCCC)c1ccc(cc1)CCCCCC)C2=C(C#N)C#N)F,-5.74,-4.11,1.55,your_data,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(C=C6C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(C=C4C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,10,4.5600000000000005,1499.943999999999,11,26,26.174120000000066
CCCCCCC(CCCC)c3c(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)sc%12c3sc%13c%11c5nc4cc(F)c(F)cc4nc5c%10c9sc8c(SC(C=c7c(=O)c6cc(F)c(F)cc6c7=C(C#N)C#N)C8C(CCCC)CCCCCC)c9n(CC(CC)CCCC)c%10c%11n(CC(CC)CCCC)c%12%13,-5.62,-3.88,1.37,your_data,CCCCCCC(CCCC)c1c(C=C2C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nc5cc(F)c(F)cc5nc4c4c5sc6c(c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21)SC(C=C1C(=O)c2cc(F)c(F)cc2C1=C(C#N)C#N)C6C(CCCC)CCCCCC,12,5.0200000000000005,1533.997999999999,10,32,26.88712000000009
CCCCCCCCC(CCCC)Cc3c(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)sc%12c3sc%13c%11c5nc4cc(F)c(F)cc4nc5c%10c9sc8c(C(CCCC)CCCCCCCC)c(C=c7c(=O)c6cc(F)c(F)cc6c7=C(C#N)C#N)sc8c9n(CC(CC)CCCC)c%10c%11n(CC(CC)CCCC)c%12%13,-5.65,-3.9,1.38,your_data,CCCCCCCCC(CCCC)Cc1c(C=C2C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nc5cc(F)c(F)cc5nc4c4c5sc6c(C(CCCC)CCCCCCCC)c(C=C7C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,12,5.0200000000000005,1602.1169999999988,11,37,29.103820000000105
CCCCCCCCC(CCCC)Cc3c(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)sc%12c3sc%13c%11c5nc4ccccc4nc5c%10c9sc8c(C(CCCC)CCCCCCCC)c(C=c7c(=O)c6cc(F)c(F)cc6c7=C(C#N)C#N)sc8c9n(CC(CC)CCCC)c%10c%11n(CC(CC)CCCC)c%12%13,-5.57,-3.84,1.36,your_data,CCCCCCCCC(CCCC)Cc1c(C=C2C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nc5ccccc5nc4c4c5sc6c(C(CCCC)CCCCCCCC)c(C=C7C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,10,4.5600000000000005,1566.1369999999988,11,37,28.8256200000001
CCCCCCCCC(CCCC)Cc3c(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)sc%12c3sc%13c%11c5nc4c(F)c(F)c(F)c(F)c4nc5c%10c9sc8c(C(CCCC)CCCCCCCC)c(C=c7c(=O)c6cc(F)c(F)cc6c7=C(C#N)C#N)sc8c9n(CC(CC)CCCC)c%10c%11n(CC(CC)CCCC)c%12%13,-5.72,-3.94,1.41,your_data,CCCCCCCCC(CCCC)Cc1c(C=C2C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nc5c(F)c(F)c(F)c(F)c5nc4c4c5sc6c(C(CCCC)CCCCCCCC)c(C=C7C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,14,5.48,1638.0969999999988,11,37,29.38202000000011
CCCCCCCCCCCc3c(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)sc%11c3sc%12c%10c4nsnc4c9c8sc7c(CCCCCCCCCCC)c(C=c6c(=O)c5cc(F)c(F)cc5c6=C(C#N)C#N)sc7c8n(CCC(CC)CCCC)c9c%10n(CCC(CC)CCCC)c%11%12,-5.7,-3.87,1.34,your_data,CCCCCCCCCCCc1c(C=C2C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(C=C7C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CCC(CC)CCCC)c4c3n(CCC(CC)CCCC)c21,10,4.5600000000000005,1480.024999999999,10,36,26.536820000000077
