SMILES,HOMO,LUMO,Voc,Jsc,fill_factor,PCE,source_db,canonical_SMILES
C1C=c2ccc3c(c4sc(cc4c4=CCC=c34)-c3cccc4=C[SiH2]C=c34)c2=C1,-4.85069124045538,-3.5821650573748,0.250691240455381,239.1805261729,,3.8959860130222,CEP,C1=c2cccc(-c3cc4c5c(c6ccc7c(c6c4s3)=CCC=7)=CCC=5)c2=C[SiH2]1
c1cc2oc3c4ncc(cc4oc3c2cn1)-c1cncc2nsnc12,-6.12825571044386,-4.0589263179486,0.0,0.0,,0.0,CEP,c1cc2oc3c4ncc(-c5cncc6nsnc56)cc4oc3c2cn1
[SiH2]1c2cc([nH]c2-c2[nH]c3cc[se]c3c12)-c1scc2cc[nH]c12,-4.61610674760229,-2.27556173598082,0.0161067476022899,54.283587493655,,0.0568105256382003,CEP,c1cc2csc(-c3cc4c([nH]3)-c3[nH]c5cc[se]c5c3[SiH2]4)c2[nH]1
C1C=CC=C1c1cc2[se]c3c(c4c[nH]cc4c4ccccc34)c2c2ccccc12,-5.09091405086682,-2.75615935797845,0.49091405086682,55.174814587685,,1.75994362987,CEP,C1=CCC(c2cc3[se]c4c5ccccc5c5c[nH]cc5c4c3c3ccccc23)=C1
c1cc2c(scc2s1)-c1ccc(nc1)-c1ncc(s1)-c1cccc2cscc12,-5.40823734799274,-3.26091162219091,0.80823734799274,75.47280648505,,3.96352705895675,CEP,c1cc(-c2cnc(-c3ccc(-c4scc5sccc45)cn3)s2)c2cscc2c1
C1cc2cccc(-c3sc(-c4ccc([nH]4)-c4cccc5c[SiH2]cc45)c4ccCc34)c2c1,-4.8598899047176,-3.52352571699287,0.2598899047176,228.6622901342,,3.86132513003953,CEP,C1=Cc2c(-c3ccc(-c4cccc5c4=C[SiH2]C=5)[nH]3)sc(-c3cccc4c3=CCC=4)c2C1
C1C=c2cccc(-c3cc4Cc5c([nH]c6ccc7c[nH]cc7c56)-c4c4c[nH]cc34)c2=C1,-4.32971211518369,-2.76354727529994,0.0,173.6156124469,,0.0,CEP,C1=c2cccc(-c3cc4c(c5c[nH]cc35)-c3[nH]c5ccc6c[nH]cc6c5c3C4)c2=CC1
[SiH2]1cc2cccc(-c3ccc(-c4[SiH2]c(cc4)-c4cccs4)c4nsnc34)c2c1,-5.19495855989664,-3.7895543151897,0.59495855989664,212.6008102647,,8.21871736064843,CEP,C1=C(c2cccs2)[SiH2]C(c2ccc(-c3cccc4c3=C[SiH2]C=4)c3nsnc23)=C1
[SiH2]1cccc1-c1sc(-c2ncc(s2)-c2scc3occc23)c2[se]ccc12,-5.09668983639571,-3.54422586194939,0.49668983639571,176.80538800145,,5.70601858305048,CEP,C1=C[SiH2]C(c2sc(-c3ncc(-c4scc5occc45)s3)c3[se]ccc23)=C1
[SiH2]1C=c2ccc3c4cscc4c(cc3c2=C1)-c1ccc2ccc3nsnc3c2c1,-5.27667485842268,-3.57968321645217,0.67667485842268,146.6675770833,,6.44861681153259,CEP,C1=c2ccc3c(cc(-c4ccc5ccc6nsnc6c5c4)c4cscc43)c2=C[SiH2]1
