canonical_SMILES,homo_ev,ewg_weighted,mol_weight,n_arom_rings,conj_length,logp,CATE,CATE_se,source_db
CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(C=C6C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(C=C4C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,-5.74,4.56,1499.944,11,26,26.1741200000001,-0.0247498132478703,0.0119312944211593,your_data
CCCCCCC(CCCC)c1c(C=C2C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nc5cc(F)c(F)cc5nc4c4c5sc6c(c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21)SC(C=C1C(=O)c2cc(F)c(F)cc2C1=C(C#N)C#N)C6C(CCCC)CCCCCC,-5.62,5.02,1533.998,10,32,26.8871200000001,-0.0280285815600524,0.0108196353799401,your_data
CCCCCCCCC(CCCC)Cc1c(C=C2C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nc5cc(F)c(F)cc5nc4c4c5sc6c(C(CCCC)CCCCCCCC)c(C=C7C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,-5.65,5.02,1602.117,11,37,29.1038200000001,-0.0203247755325591,0.0089066157631091,your_data
CCCCCCCCC(CCCC)Cc1c(C=C2C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nc5ccccc5nc4c4c5sc6c(C(CCCC)CCCCCCCC)c(C=C7C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,-5.57,4.56,1566.137,11,37,28.8256200000001,-0.0194132471506688,0.0128254081715581,your_data
CCCCCCCCC(CCCC)Cc1c(C=C2C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nc5c(F)c(F)c(F)c(F)c5nc4c4c5sc6c(C(CCCC)CCCCCCCC)c(C=C7C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,-5.72,5.48,1638.097,11,37,29.3820200000001,-0.02215268856765,0.0104096542804179,your_data
CCCCCCCCCCCc1c(C=C2C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(C=C7C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CCC(CC)CCCC)c4c3n(CCC(CC)CCCC)c21,-5.7,4.56,1480.025,10,36,26.5368200000001,-0.0201175245872727,0.00770142155084852,your_data
CCCCCCCCCc1c(C=C2C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCC)c(C=C7C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CCC(CCCC)CCCCCC)c4c3n(CCC(CCCC)CCCCC)c21,-5.7,4.56,1522.106,10,39,27.7071200000001,-0.0249903275515806,0.01249895262767,your_data
CCCCCCCCCc1c(C=C2C(=O)c3cc(Cl)c(Cl)cc3C2=C(C#N)C#N)sc2c1sc1c3c4c(C#N)sc(C#N)c4c4c5sc6c(CCCCCCCCC)c(C=C7C(=O)c8cc(Cl)c(Cl)cc8C7=C(C#N)C#N)sc6c5n(CC(CCCC)CCCCCC)c4c3n(CC(CCCC)CCCCCC)c21,-5.74,5.88,1621.943,10,38,30.3275800000001,-0.0233016438787793,0.0105867564316482,your_data
CCCCCCCCCc1c(C=C2C(=O)c3cc(Cl)c(Cl)cc3C2=C(C#N)C#N)sc2c1sc1c3c4c(C#N)c5ccccc5c(C#N)c4c4c5sc6c(CCCCCCCCC)c(C=C7C(=O)c8cc(Cl)c(Cl)cc8C7=C(C#N)C#N)sc6c5n(CC(CCCC)CCCCCC)c4c3n(CC(CCCC)CCCCCC)c21,-5.69,5.88,1665.974,11,38,31.4192800000001,-0.0215215847796225,0.00853111304943781,your_data
CCCCCCC(CCCC)Cc1csc(-c2cc3c4nsnc4c4cc(-c5cc(CC(CCCC)CCCCCC)c(-c6cc7c(-c8cc(F)c(CC(CC)CCCC)s8)c8sccc8c(-c8cc(F)c(CC(CC)CCCC)[nH]8)c7s6)s5)sc4c3s2)c1,-5.74,0.46,1345.149,11,37,28.8323000000001,-0.0134860691941042,0.0100331923029931,your_data
